,task_id,pretty_formula,spacegroup.symbol,spacegroup.crystal_system,e_above_hull,structure.lattice.volume,density,band_gap,final_energy,oxidation_states,coordination_number
0,mp-23231,AgBr,Fm-3m,cubic,0.03729415,50.09220355,6.224582901,0.7946,-5.12952725,"[0, 0]",6
1,mp-1008653,AgC,Fm-3m,cubic,2.235510398,25.42523669,7.829370446,0,-7.58827808,"[2, -2]",6
2,mp-22922,AgCl,Fm-3m,cubic,0,44.43286337,5.356180845,1.2003,-5.53483498,[],6
3,mp-7592,AgF,Fm-3m,cubic,0,31.80252474,6.624220956,0,-6.75011769,"[0, 0]",6
4,mp-22925,AgI,F-43m,cubic,0,73.21955896,5.324385941,1.7236,-4.91777993,[],4
5,mp-1056955,AgN,Fm-3m,cubic,1.408179422,24.59136121,8.229639302,0,-7.9686424,"[3, -3]",6
6,mp-499,AgO,Cccm,orthorhombic,0,60.9219734,6.752472955,0,-15.96752561,"[2, -2]",4
7,mp-379,AgSe,F-43m,cubic,0.138153559,53.38705786,5.811062405,0,-6.15294326,"[2, -2]",4
8,mp-568761,AgTe,Pnma,orthorhombic,0.00049373,862.5828543,7.25271351,0.2404,-97.08230533,"[0, 0]",9
9,mp-2172,AlAs,F-43m,cubic,0,47.12568017,3.590699212,1.6871,-9.3732972,"[3, -3]",4
10,mp-1399,AlAu,P2_1/m,monoclinic,0,141.0973862,10.5423521,0,-31.2299241,"[0, 0]",8
11,mp-1018132,AlBi,F-43m,cubic,0.089134315,67.05333329,5.843468148,0.3019,-7.45372358,"[0, 0]",4
12,mp-284,AlCo,Pm-3m,cubic,0,23.24753826,6.136768975,0,-12.07441751,"[0, 0]",0
13,mp-2500,AlCu,C2/m,monoclinic,0,140.3104157,5.356855143,0,-41.35819198,"[0, 0]",12
14,mp-2658,AlFe,Pm-3m,cubic,0,23.74711141,5.791723495,0,-12.86937107,"[0, 0]",0
15,mp-1885,AlIr,Pm-3m,cubic,0,27.48127155,13.24493796,0,-14.50196539,"[0, 0]",0
16,mp-661,AlN,P6_3mc,hexagonal,0,42.52728308,3.200889713,4.0536,-29.7797004,"[3, -3]",4
17,mp-1487,AlNi,Pm-3m,cubic,0,24.08503904,5.906844592,0,-10.84053015,"[0, 0]",0
18,mp-8023,AlO,Fm-3m,cubic,1.303343536,22.42665523,3.182441917,0,-11.11076811,"[0, 0]",6
19,mp-875,AlOs,Pm-3m,cubic,0.020723448,27.48804744,13.12163937,0,-15.77462007,"[0, 0]",0
20,mp-1550,AlP,F-43m,cubic,0,41.75531223,2.304785562,1.8232,-10.37746835,"[3, -3]",4
21,mp-7189,AlPd,P2_13,cubic,0,118.2794489,7.491359435,0,-43.01400248,"[0, 0]",7
22,mp-10904,AlPt,P2_13,cubic,0,118.9103325,12.40425435,0,-47.59722495,"[0, 0]",7
23,mp-10908,AlRe,Pm-3m,cubic,0.305365652,28.72973816,12.3220022,0,-16.2109315,"[0, 0]",0
24,mp-364,AlRh,Pm-3m,cubic,0,27.18200946,7.934751924,0,-13.28738865,"[0, 0]",0
25,mp-542569,AlRu,Pm-3m,cubic,0,27.14760717,7.832534965,0,-14.36543483,"[0, 0]",0
26,mp-2624,AlSb,F-43m,cubic,0,60.5606102,4.078412269,1.2605,-8.19354822,"[3, -3]",4
27,mp-7760,AlSn,P-6m2,hexagonal,0.19845188,50.47211227,4.793270593,0,-7.34096705,"[0, 0]",8
28,mp-22079,AsRh,Pnma,orthorhombic,0.003816436,128.4354639,9.196489436,0,-51.90937403,"[3, -3]",8
29,mp-15650,AsRu,Pnma,orthorhombic,0.035766868,124.2368643,9.409153356,0,-57.83066913,"[3, -3]",8
30,mp-542810,AsS,P2_1/c,monoclinic,0,987.6297782,2.878089468,2.1214,-145.0073874,"[2, -2]",3
31,mp-542570,AsSe,P2_1/c,monoclinic,0.004965807,996.790385,4.10158705,1.5425,-133.4708072,"[2, -2]",3
32,mp-505366,AuBr,P4_2/ncm,tetragonal,0,255.0771104,7.209653513,2.058,-20.73075766,[],6
33,mp-1008661,AuC,P-6m2,hexagonal,2.246528445,26.78333685,12.95637363,0,-8.00759447,"[2, -2]",6
34,mp-32780,AuCl,I4_1/amd,tetragonal,0,228.5102566,6.755789083,2.0772,-22.21067401,[],2
35,mp-27725,AuI,P4_2/ncm,tetragonal,0,318.3275156,6.757826282,2.0942,-19.80217873,[],6
36,mp-1008610,AuN,Fm-3m,cubic,1.498750494,25.4587504,13.76066577,0,-8.22885274,"[3, -3]",6
37,mp-2793,AuSe,C2/m,monoclinic,0,111.4346009,8.223421519,0.317,-13.94305449,"[2, -2]",4
38,mp-10044,BAs,F-43m,cubic,0.08016719,27.98204548,5.087631341,1.2522,-11.37636529,"[3, -3]",4
39,mp-1199460,BCl,Pa-3,cubic,0.011412387,2000.285508,1.843493139,0,-470.5249448,"[0, 0]",6
40,mp-1890,BMo,I4_1/amd,tetragonal,0,83.65175147,8.476293815,0,-74.11684746,"[3, -3]",9
41,mp-984,BN,P6_3/mmc,hexagonal,0,42.13260173,1.956240949,4.4938,-35.15512185,"[3, -3]",3
42,mp-997617,BOs,P-6m2,hexagonal,0,20.91843708,15.95895684,0,-18.38046882,"[3, -3]",6
43,mp-1479,BP,F-43m,cubic,0,23.49969077,2.952601818,1.4662,-12.90737451,"[3, -3]",4
44,mp-1096829,BPt,P6_3/mmc,hexagonal,0.193714463,47.51957798,14.38971917,0,-25.2529075,"[0, 0]",6
45,mp-567164,BRh,P6_3/mmc,hexagonal,0,41.42604571,9.116520177,0,-29.5992487,"[3, -3]",8
46,mp-997618,BSb,F-43m,cubic,0.371504738,36.84952451,5.974007196,1.0137,-10.06538075,"[3, -3]",4
47,mp-7832,BW,I4_1/amd,tetragonal,0,84.32978722,15.33150269,0,-81.49148885,"[3, -3]",9
48,mp-11840,BaAg,Pnma,orthorhombic,0,297.9460106,5.466174328,0,-21.25516391,"[0, 0]",7
49,mp-570775,BaAu,Pnma,orthorhombic,0,278.3902214,7.975963068,0,-26.55307229,"[0, 0]",9
50,mp-527,BaCd,Pm-3m,cubic,0,78.3861567,5.290471212,0,-3.49740878,"[0, 0]",0
51,mp-30428,BaCu,P6_3/mmc,hexagonal,0,295.8017015,4.510555041,0,-24.66090128,"[0, 0]",12
52,mp-1730,BaGe,Cmcm,orthorhombic,0.004005779,135.4486599,5.148200157,0,-15.25415682,"[0, 0]",0
53,mp-2197,BaHg,Pm-3m,cubic,0,75.23514291,7.458274924,0,-3.28871749,"[0, 0]",0
54,mp-31509,BaIn,Cmcm,orthorhombic,0,300.9424763,5.565138269,0,-22.04372154,"[0, 0]",0
55,mp-1057758,BaN,Fm-3m,cubic,0.51909538,46.9098183,5.356991991,0,-10.13455974,"[2, -2]",6
56,mp-1342,BaO,Fm-3m,cubic,0,44.25500294,5.753123041,2.2561,-11.82719219,"[2, -2]",6
57,mp-20136,BaPb,Cmcm,orthorhombic,0,171.1026537,6.68721999,0,-13.61613229,"[0, 0]",9
58,mp-1008505,BaPd,Cmcm,orthorhombic,0,127.8238294,6.332957129,0,-16.37221893,"[0, 0]",11
59,mp-31498,BaPt,P6_3/mmc,hexagonal,0,126.8112016,8.705562989,0,-18.97606449,"[2, -2]",12
60,mp-1500,BaS,Fm-3m,cubic,0,67.3096236,4.178927448,2.2091,-10.21246972,"[2, -2]",6
61,mp-1253,BaSe,Fm-3m,cubic,0,74.74111078,4.805294025,2.2121,-9.51004985,"[2, -2]",6
62,mp-1067235,BaSi,C2/m,monoclinic,0,128.1680207,4.286153704,0,-16.37470211,"[0, 0]",0
63,mp-872,BaSn,Cmcm,orthorhombic,0,162.1923265,5.2426579,0,-14.66155156,"[0, 0]",7
64,mp-1000,BaTe,Fm-3m,cubic,0,89.0910839,4.937886195,1.8555,-8.64694618,"[2, -2]",6
65,mp-902,BaZn,Pm-3m,cubic,0.001668376,70.01053293,4.80857714,0,-3.51347611,"[0, 0]",0
66,mp-30365,BeAu,P2_13,cubic,0,105.3925624,12.9814004,0,-29.14272077,"[0, 0]",7
67,mp-2773,BeCo,Pm-3m,cubic,0,17.41222307,6.479698338,0,-11.45879359,"[0, 0]",0
68,mp-2323,BeCu,Pm-3m,cubic,0.001242982,19.42707914,6.201946001,0,-8.03910815,"[0, 0]",0
69,mp-1033,BeNi,Pm-3m,cubic,0,17.67989569,6.359073941,0,-10.45572419,"[0, 0]",0
70,mp-2542,BeO,P6_3mc,hexagonal,0,27.99172794,2.967498763,7.4631,-28.41216655,"[2, -2]",4
71,mp-11274,BePd,Pm-3m,cubic,0,22.7181831,8.437278937,0,-10.10471632,"[0, 0]",0
72,mp-11276,BeRh,Pm-3m,cubic,0,21.63349281,8.590553768,0,-12.31935258,"[0, 0]",0
73,mp-422,BeS,F-43m,cubic,0,28.95580069,2.355668427,3.2356,-9.98926115,"[2, -2]",4
74,mp-1541,BeSe,F-43m,cubic,0,34.82368031,4.194882439,2.8976,-8.8217452,"[2, -2]",4
75,mp-252,BeTe,F-43m,cubic,0,45.50551345,4.985107254,2.2113,-7.60077904,"[2, -2]",4
76,mp-1006880,BiB,F-43m,cubic,0.823773416,42.56267404,8.574936007,0.3557,-8.91826019,"[3, -3]",4
77,mp-568758,BiBr,C2/m,monoclinic,0.037291541,634.5283927,6.048004628,0.7864,-51.83102025,"[0, 0]",8
78,mp-568388,BiI,C2/m,monoclinic,0.025798945,365.5216771,6.103604612,0.8341,-24.0114711,"[0, 0]",6
79,mp-27945,BiO,R3m,trigonal,0.484881127,43.25985821,8.635898557,0,-9.91623911,"[2, -2]",4
80,mp-1008488,BiPd,P6_3/mmc,hexagonal,0,93.08914095,11.25232611,0,-19.42207307,"[0, 0]",6
81,mp-1066078,BiPt,P6_3/mmc,hexagonal,0,94.37620252,14.21893875,0,-21.01351215,"[2, -2]",6
82,mp-1064554,BiRh,P6_3/mmc,hexagonal,0,86.86651568,11.92401277,0,-23.17427763,"[0, 0]",6
83,mp-28677,BiS,Amm2,orthorhombic,0.228208897,1025.283445,3.903947786,0,-81.39117709,"[2, -2]",5
84,mp-27902,BiSe,P-3m1,trigonal,0.005919253,379.3965467,7.56152823,0,-48.0995874,"[2, -2]",6
85,mp-23224,BiTe,P-3m1,trigonal,0.00099385,433.9821307,7.72711405,0.0193,-44.56539028,"[2, -2]",6
86,mp-1066781,BrCl,Cmc2_1,orthorhombic,0,158.3699322,2.419080472,1.8328,-7.18121859,"[0, 0]",2
87,mp-1058019,BrN,Fm-3m,cubic,2.068240864,29.13870415,5.351726875,0,-5.452917,"[0, 0]",6
88,mp-1207019,BrO,R-3m,trigonal,0.908575948,29.84606284,5.335757121,0,-4.41190754,"[0, 0]",6
89,mp-1197830,CI,P4_2/n,tetragonal,0.947942954,1428.00603,2.584572468,3.4211,-141.6782876,"[0, 0]",1
90,mp-27461,CN,Pbca,orthorhombic,0.498656591,314.1651429,1.100132464,4.8638,-129.4554306,"[3, -3]",2
91,mp-11875,CO,P2_13,cubic,0.660762735,212.1147941,0.877107427,6.1755,-59.28558122,"[2, -2]",1
92,mp-538,CaAg,Cmcm,orthorhombic,0,109.9532713,4.468633665,0,-11.02511478,"[0, 0]",11
93,mp-888,CaAs,P-62m,hexagonal,0,321.3232507,3.565779844,0,-53.05842018,"[2, -2]",6
94,mp-12723,CaAu,Cmcm,orthorhombic,0,103.9942744,7.570066135,0,-13.80137568,"[0, 0]",7
95,mp-1073,CaCd,Pm-3m,cubic,0,57.43498309,4.408705776,0,-3.63669309,"[0, 0]",0
96,mp-585949,CaCu,Pnma,orthorhombic,0,950.0440709,3.622394066,0,-127.8432311,"[0, 0]",7
97,mp-6914,CaGa,Cmcm,orthorhombic,0,104.8344205,3.478415757,0,-11.97115463,"[0, 0]",11
98,mp-2360,CaGe,Cmcm,orthorhombic,0,100.4032362,3.728418518,0,-15.90265702,"[0, 0]",9
99,mp-11286,CaHg,Pm-3m,cubic,0,55.38973433,7.215030383,0,-3.4133792,"[0, 0]",0
100,mp-20263,CaIn,Pm-3m,cubic,0,57.69972337,4.457748569,0,-5.69639876,"[0, 0]",0
101,mp-1058549,CaN,Fm-3m,cubic,0.398165269,31.54688524,2.846866072,0,-10.90838054,"[2, -2]",6
102,mp-1059707,CaNi,Pm-3m,cubic,0.170063615,40.2260102,4.077306388,0,-7.72404619,"[0, 0]",0
103,mp-2605,CaO,Fm-3m,cubic,0,28.33208216,3.286687964,3.6919,-12.87793307,"[2, -2]",6
104,mp-1345,CaP,P-62m,hexagonal,0,290.8871303,2.433608384,0.6971,-57.59906683,"[2, -2]",6
105,mp-20034,CaPb,P4/mmm,tetragonal,0,60.52314452,6.784425737,0,-6.74805553,"[0, 0]",12
106,mp-213,CaPd,Pm-3m,cubic,0,43.95281806,5.534699774,0,-8.5347781,"[0, 0]",0
107,mp-1672,CaS,Fm-3m,cubic,0,46.69510675,2.565499433,2.5596,-10.4388825,"[2, -2]",6
108,mp-1415,CaSe,Fm-3m,cubic,0,53.05137572,3.725958973,2.1362,-9.54614691,"[2, -2]",6
109,mp-1563,CaSi,Cmcm,orthorhombic,0,95.22968301,2.377161219,0,-17.01569823,"[0, 0]",7
110,mp-2450,CaSn,Cmcm,orthorhombic,0,122.8259331,4.293452868,0,-14.6068946,"[0, 0]",9
111,mp-1519,CaTe,Fm-3m,cubic,0,65.45088104,4.254119504,1.6041,-8.44555227,"[2, -2]",6
112,mp-2861,CaTl,Pm-3m,cubic,0,59.673748,6.802615095,0,-5.25902133,"[0, 0]",0
113,mp-1067260,CaW,Fd-3m,cubic,0.944710768,82.34368447,9.031040792,0,-26.13633534,"[0, 0]",0
114,mp-30483,CaZn,Cmcm,orthorhombic,0,107.1123247,3.270684024,0,-7.51394967,"[0, 0]",11
115,mp-2642,CdAg,Pm-3m,cubic,4.87E-05,39.12397424,9.349311369,0,-3.86928242,"[0, 0]",0
116,mp-7373,CdAs,Pbca,orthorhombic,0.015633328,398.7261598,6.241338183,0.2783,-45.81659803,"[2, -2]",7
117,mp-1404,CdAu,Pmma,orthorhombic,0,78.26268637,13.12844124,0,-9.09409325,"[0, 0]",12
118,mp-1006887,CdC,Fm-3m,cubic,1.98082147,28.63115212,7.216164152,0,-6.17132966,"[2, -2]",6
119,mp-1008918,CdN,Fm-3m,cubic,0.840480199,27.00743093,7.772732256,0,-7.17771457,"[2, -2]",6
120,mp-985556,CdNi,Fd-3m,cubic,0,375.3328252,9.083954983,0,-80.72167331,"[0, 0]",0
121,mp-1132,CdO,Fm-3m,cubic,0,27.3672914,7.7914355,0,-7.91327389,"[2, -2]",6
122,mp-1696,CdPd,P4/mmm,tetragonal,0,35.25364723,10.30751292,0,-6.92293807,"[0, 0]",12
123,mp-1194,CdPt,P4/mmm,tetragonal,0,35.27817757,14.47374823,0,-7.60628646,"[2, -2]",12
124,mp-672,CdS,P6_3mc,hexagonal,0,104.8628753,4.575652564,1.1162,-12.64802758,"[2, -2]",4
125,mp-1321,CdSb,Pbca,orthorhombic,0,486.4986467,6.394263934,0.0532,-41.01369494,"[2, -2]",5
126,mp-2691,CdSe,F-43m,cubic,0,59.95277066,5.300489339,0.5095,-5.658016,"[2, -2]",4
127,mp-406,CdTe,F-43m,cubic,0,72.82718103,5.472512272,1.2285,-4.97693231,"[2, -2]",4
128,mp-11841,CeAg,P4/mmm,tetragonal,0.06590914,47.59110324,8.652614122,0,-8.90370703,"[0, 0]",12
129,mp-20439,CeAl,Cmcm,orthorhombic,0.012663505,188.0723533,5.901388183,0,-41.38344103,"[0, 0]",7
130,mp-2748,CeAs,Fm-3m,cubic,0,53.3658388,6.691140693,0,-13.45066106,"[3, -3]",6
131,mp-1025468,CeAu,Pnma,orthorhombic,0,210.9965375,10.61133573,0,-41.92748155,"[0, 0]",7
132,mp-23285,CeBi,Fm-3m,cubic,0,69.34833608,8.359078862,0,-11.44913797,"[0, 0]",6
133,mp-22672,CeC,Fm-3m,cubic,0.157215259,34.99279958,7.218980231,0,-15.27295959,"[4, -4]",6
134,mp-11291,CeCd,P4/mmm,tetragonal,0.069739911,57.07555105,7.346945253,0,-7.0838489,"[0, 0]",0
135,mp-636198,CeCu,Pnma,orthorhombic,0.07952184,181.899417,7.436828835,0,-40.35447706,"[0, 0]",9
136,mp-1018276,CeGa,Cmcm,orthorhombic,0,101.7377694,6.849881989,0,-19.81415026,"[0, 0]",11
137,mp-1079395,CeGe,Pnma,orthorhombic,0.001671925,198.2546052,7.127998854,0,-47.78301896,"[0, 0]",7
138,mp-702,CeHg,Pm-3m,cubic,0,56.13837561,10.07787662,0,-6.80693978,"[0, 0]",0
139,mp-1062,CeMg,Pm-3m,cubic,0.102001883,56.56658818,4.826656559,0,-7.35893801,"[0, 0]",0
140,mp-2493,CeN,Fm-3m,cubic,0,32.22254306,7.942475673,0,-17.26652393,"[3, -3]",6
141,mp-21188,CeNi,Cmcm,orthorhombic,0,81.64927877,8.086557052,0,-24.67851796,"[0, 0]",11
142,mp-10688,CeO,Fm-3m,cubic,0,30.98450543,8.366624446,0,-16.66237386,"[0, 0]",6
143,mp-2154,CeP,Fm-3m,cubic,0,48.78299571,5.823775878,0,-14.34762225,"[3, -3]",6
144,mp-1018086,CePd,Cmcm,orthorhombic,0,95.6797957,8.557348108,0,-24.89084141,"[0, 0]",7
145,mp-21245,CePt,Cmcm,orthorhombic,0,94.73515851,11.75092128,0,-28.33717008,"[0, 0]",7
146,mp-1018117,CeRh,Cmcm,orthorhombic,0,88.06240367,9.165016578,0,-29.67798436,"[0, 0]",7
147,mp-1096,CeS,Fm-3m,cubic,0,45.8750641,6.232433297,0,-14.16108828,"[0, 0]",6
148,mp-387,CeSb,Fm-3m,cubic,0,64.62668694,6.728726927,0,-12.17654378,"[3, -3]",6
149,mp-2563,CeSe,Fm-3m,cubic,0,52.02848974,6.992020302,0,-13.05837929,"[0, 0]",6
150,mp-21115,CeSi,Pnma,orthorhombic,0,185.7067716,6.016046899,0,-50.59211995,"[4, -4]",7
151,mp-1525,CeTe,Fm-3m,cubic,0,63.71020688,6.977734001,0,-11.80198709,"[0, 0]",6
152,mp-986,CeZn,Pm-3m,cubic,0.02776364,47.13288475,7.240853037,0,-7.57988932,"[0, 0]",0
153,mp-29504,ClF,P2_1/c,monoclinic,0,172.9689668,2.090980455,2.0897,-17.8311795,"[0, 0]",1
154,mp-1059242,ClO,Pm-3m,cubic,1.463807426,29.54091093,2.892216847,0,-3.53126851,"[0, 0]",0
155,mp-583,CoAs,Pnma,orthorhombic,0,107.4128802,8.277261201,0,-49.47226812,"[3, -3]",10
156,mp-20857,CoB,Pnma,orthorhombic,0,62.12650419,7.456589549,0,-58.3674595,"[3, -3]",9
157,mp-1059765,CoBr,P6/mmm,hexagonal,0.933789424,47.70537893,4.832674876,0,-7.35786891,"[0, 0]",2
158,mp-21237,CoGe,C2/m,monoclinic,0,107.0219258,8.165894185,0,-48.66475886,"[0, 0]",10
159,mp-1006884,CoMo,Pm-3m,cubic,0.285558222,26.99308859,9.527364377,0,-17.44200928,"[0, 0]",0
160,mp-448,CoN,F-43m,cubic,0,19.27926956,6.282372099,0,-15.23108084,"[3, -3]",4
161,mp-1006883,CoNi,Pm-3m,cubic,0.171897052,22.00361977,8.87688291,0,-12.57883499,"[0, 0]",0
162,mp-22408,CoO,F-43m,cubic,0,97.24749745,5.118013507,0.8425,-49.20016007,"[2, -2]",4
163,mp-22270,CoP,Pnma,orthorhombic,0,92.11151274,6.48318587,0,-54.75537059,"[3, -3]",10
164,mp-949,CoPt,P4/mmm,tetragonal,0,27.13481066,15.54480999,0,-13.35086516,"[2, -2]",12
165,mp-1274,CoS,P6_3/mmc,hexagonal,0.184856168,49.84316698,6.063260702,0,-23.62038775,"[2, -2]",8
166,mp-2644,CoSb,P6_3/mmc,hexagonal,0,67.66962965,8.868028713,0,-23.12087868,"[2, -2]",8
167,mp-604908,CoSe,P4/nmm,tetragonal,0.012736959,76.42898122,5.991890345,0,-22.27160039,"[2, -2]",8
168,mp-7577,CoSi,P2_13,cubic,0,87.12672424,6.633920595,0,-55.06142219,"[4, -4]",7
169,mp-20536,CoSn,P6/mmm,hexagonal,0,103.415601,8.557223352,0,-34.00424378,"[0, 0]",10
170,mp-788,CoTe,P6_3/mmc,hexagonal,0.090365716,70.18963917,8.825965233,0,-20.76175957,"[2, -2]",8
171,mp-1007819,CoW,Pm-3m,cubic,0.348816831,27.14140213,14.85311528,0,-19.47127959,"[0, 0]",0
172,mp-20717,CrAs,Pnma,orthorhombic,0,127.5779126,6.607783268,0,-58.77757399,"[3, -3]",8
173,mp-1080664,CrB,I4_1/amd,tetragonal,0,66.56004577,6.267642518,0,-69.56032995,"[3, -3]",11
174,mp-1079128,CrBi,P2_1/c,monoclinic,0.60764481,202.654994,8.553683582,0,-49.29669692,"[0, 0]",8
175,mp-1018050,CrC,P-6m2,hexagonal,0.079602172,16.63621507,6.388820501,0,-18.88773185,"[3, -3]",6
176,mp-1010071,CrCo,Pm-3m,cubic,0.153561103,23.17850025,7.947124532,0,-16.45424306,"[0, 0]",0
177,mp-1182452,CrGa,R-3m,trigonal,0.082248186,365.8259288,7.182517592,0,-165.2567399,"[0, 0]",12
178,mp-20861,CrGe,P2_13,cubic,0.129632611,108.3637077,7.63957297,0,-56.51618383,"[0, 0]",7
179,mp-24287,CrH,Fm-3m,cubic,0,13.4921887,6.523424855,0,-12.98274567,"[0, 0]",6
180,mp-1018157,CrN,F-43m,cubic,0.03087492,21.2972197,5.146222344,0,-18.9494513,"[3, -3]",4
181,mp-19091,CrO,Fm-3m,cubic,1.950689563,22.04507703,5.121741419,0,-11.95327563,"[2, -2]",6
182,mp-21048,CrP,Pnma,orthorhombic,0,97.19771724,5.669873784,0,-64.57468695,"[3, -3]",8
183,mp-523,CrS,P6_3/mmc,hexagonal,0.324462991,57.04755843,4.893697272,0,-28.57775934,"[2, -2]",6
184,mp-1641,CrSb,P6_3/mmc,hexagonal,0.09764339,82.33617993,7.008554256,0,-27.17352055,"[3, -3]",8
185,mp-2189,CrSe,P6_3/mmc,hexagonal,0.13681436,75.78963684,5.738455259,0,-27.5079663,"[2, -2]",6
186,mp-7576,CrSi,P2_13,cubic,0.072029208,97.30591358,5.466414956,0,-62.61407743,"[4, -4]",7
187,mp-1009079,CrTe,Fm-3m,cubic,0.175404674,46.81013679,6.370977756,0,-12.79522871,"[2, -2]",6
188,mp-1078399,CsAl,Pnma,orthorhombic,0.270602079,434.2065883,2.445827412,0,-16.39909618,"[0, 0]",0
189,mp-2667,CsAu,Pm-3m,cubic,0,84.08875074,6.514133851,1.9857,-4.7821053,[],0
190,mp-1060982,CsB,Fm-3m,cubic,2.146142372,82.84002423,2.880814982,0,-3.28250827,"[0, 0]",6
191,mp-1205121,CsBi,P2_1/c,monoclinic,0,1670.650837,5.437064894,0.2452,-88.19646438,"[0, 0]",12
192,mp-571222,CsBr,Fm-3m,cubic,0,101.3921893,3.485262633,4.4247,-6.10412726,[],6
193,mp-505806,CsC,Pnma,orthorhombic,0.365006002,519.494422,3.705740372,3.1337,-75.5493769,"[0, 0]",9
194,mp-573697,CsCl,Fm-3m,cubic,0,88.04926424,3.175106447,5.0172,-6.63983494,[],6
195,mp-1784,CsF,Fm-3m,cubic,0,57.24934948,4.406028855,5.281,-8.03004591,[],6
196,mp-866501,CsGe,I4_1/acd,tetragonal,0,1308.390965,4.173874774,1.2037,-94.42379465,"[0, 0]",12
197,mp-1057286,CsH,Fm-3m,cubic,0,66.93942099,3.321935199,2.5878,-4.55430444,[],6
198,mp-1080797,CsHg,P-1,triclinic,0,416.9635801,5.31252371,0,-6.52544725,"[0, 0]",7
199,mp-614603,CsI,Fm-3m,cubic,0,121.3588309,3.554949583,3.8556,-5.51127789,[],6
200,mp-1059879,CsN,Pm-3m,cubic,1.534148734,57.7094894,4.22726609,0,-6.36009698,"[0, 0]",0
201,mp-29266,CsS,Immm,orthorhombic,0,176.9318465,3.096558202,1.7332,-13.79618233,[],6
202,mp-573514,CsSb,P2_12_12_1,orthorhombic,0,794.3318314,4.258995196,0.5564,-47.2137535,"[0, 0]",11
203,mp-1058331,CsSe,Pm-3m,cubic,0.365132999,82.77770804,4.250067658,0,-5.47246732,"[0, 0]",0
204,mp-1370,CsSi,P-43n,cubic,0,2581.945344,3.313244604,1.5632,-206.1078009,"[0, 0]",7
205,mp-571056,CsSn,P-43n,cubic,0,3236.528691,4.131016431,1.1371,-176.6474786,"[0, 0]",7
206,mp-8361,CsTe,Pbam,orthorhombic,0,381.5707958,4.534723147,1.0056,-22.93493668,[],11
207,mp-12070,CuAs,P6_3/mmc,hexagonal,0.053691488,64.62381769,7.115978829,0,-17.30066351,"[0, 0]",8
208,mp-522,CuAu,P4/mmm,tetragonal,0,30.0403261,14.40035294,0,-7.46908845,"[0, 0]",12
209,mp-569792,CuBi,P6_3/mmc,hexagonal,0.108383573,87.38586756,10.35729796,0,-15.53771181,"[0, 0]",8
210,mp-22913,CuBr,F-43m,cubic,0,46.27427652,5.147661877,0.4871,-6.23646918,"[0, 0]",4
211,mp-22914,CuCl,F-43m,cubic,0.002367125,39.46738876,4.165254207,0.8018,-6.70407879,"[0, 0]",4
212,mp-10634,CuF,F-43m,cubic,0.341908275,28.4615842,4.81590221,0,-7.58427873,"[0, 0]",4
213,mp-24093,CuH,P6_3mc,hexagonal,0.061664708,32.12408948,6.673766696,0.731,-14.43122783,"[0, 0]",4
214,mp-570136,CuI,P3m1,trigonal,0,336.5500209,5.638100004,1.4615,-35.58219243,[],7
215,mp-13117,CuN,F-43m,cubic,0.784467209,21.751272,5.920540558,0,-10.48274444,"[3, -3]",4
216,mp-1692,CuO,P4_2/mmc,tetragonal,0,44.16837951,5.981122501,0,-20.49151512,"[2, -2]",4
217,mp-1018029,CuPd,Pm-3m,cubic,0,27.49250156,10.26589677,0,-9.5245991,"[0, 0]",0
218,mp-644311,CuPt,R-3m,trigonal,0,28.00964726,15.3327607,0,-10.48325924,"[2, -2]",12
219,mp-555599,CuS,Cmcm,orthorhombic,0,205.1711499,4.642927647,0,-51.73878428,"[2, -2]",4
220,mp-571486,CuSe,Cmcm,orthorhombic,0,244.3846325,5.809778901,0,-47.0511896,"[2, -2]",4
221,mp-10598,CuSn,P6_3/mmc,hexagonal,0,76.95313443,7.865649928,0,-16.31080228,"[0, 0]",8
222,mp-20826,CuTe,Pmmn,orthorhombic,0,92.05384207,6.896081538,0,-14.74894129,"[2, -2]",10
223,mp-2167,DyAg,Pm-3m,cubic,0,48.35573256,9.284461939,0,-8.10748619,"[0, 0]",0
224,mp-433,DyAl,Pbcm,orthorhombic,0,377.0589886,6.675698111,0,-73.46883967,"[0, 0]",7
225,mp-2627,DyAs,Fm-3m,cubic,0,49.44186376,7.973968052,0,-12.31812381,"[3, -3]",6
226,mp-1007918,DyAu,Cmcm,orthorhombic,0,96.00784527,12.43457301,0,-19.29574318,"[0, 0]",7
227,mp-22907,DyBi,Fm-3m,cubic,0,63.43355958,9.72446952,0,-10.1963759,"[0, 0]",6
228,mp-770,DyCd,Pm-3m,cubic,0,52.78396085,8.648469119,0,-6.16590395,"[0, 0]",0
229,mp-2334,DyCu,Pm-3m,cubic,0,41.59080097,9.025029696,0,-9.20245799,"[0, 0]",0
230,mp-30604,DyGa,Cmcm,orthorhombic,0,96.78095906,7.968827079,0,-17.78490869,"[0, 0]",7
231,mp-20122,DyGe,Cmcm,orthorhombic,0,91.77723484,8.508845506,0,-21.93817164,"[0, 0]",9
232,mp-2443,DyHg,Pm-3m,cubic,0,51.85605938,11.62689832,0,-5.88311019,"[0, 0]",0
233,mp-257,DyIn,Pm-3m,cubic,0,53.32754777,8.635262489,0,-8.25658692,"[0, 0]",0
234,mp-2077,DyMg,Pm-3m,cubic,0,54.30900043,5.711705203,0,-6.36636251,"[0, 0]",0
